행정구역,2017년01월_총인구수,2017년01월_세대수,2017년01월_세대당 인구,2017년01월_남자 인구수,2017년01월_여자 인구수,2017년01월_남여 비율,2017년02월_총인구수,2017년02월_세대수,2017년02월_세대당 인구,2017년02월_남자 인구수,2017년02월_여자 인구수,2017년02월_남여 비율,2017년03월_총인구수,2017년03월_세대수,2017년03월_세대당 인구,2017년03월_남자 인구수,2017년03월_여자 인구수,2017년03월_남여 비율,2017년04월_총인구수,2017년04월_세대수,2017년04월_세대당 인구,2017년04월_남자 인구수,2017년04월_여자 인구수,2017년04월_남여 비율,2017년05월_총인구수,2017년05월_세대수,2017년05월_세대당 인구,2017년05월_남자 인구수,2017년05월_여자 인구수,2017년05월_남여 비율,2017년06월_총인구수,2017년06월_세대수,2017년06월_세대당 인구,2017년06월_남자 인구수,2017년06월_여자 인구수,2017년06월_남여 비율,2017년07월_총인구수,2017년07월_세대수,2017년07월_세대당 인구,2017년07월_남자 인구수,2017년07월_여자 인구수,2017년07월_남여 비율,2017년08월_총인구수,2017년08월_세대수,2017년08월_세대당 인구,2017년08월_남자 인구수,2017년08월_여자 인구수,2017년08월_남여 비율,2017년09월_총인구수,2017년09월_세대수,2017년09월_세대당 인구,2017년09월_남자 인구수,2017년09월_여자 인구수,2017년09월_남여 비율,2017년10월_총인구수,2017년10월_세대수,2017년10월_세대당 인구,2017년10월_남자 인구수,2017년10월_여자 인구수,2017년10월_남여 비율,2017년11월_총인구수,2017년11월_세대수,2017년11월_세대당 인구,2017년11월_남자 인구수,2017년11월_여자 인구수,2017년11월_남여 비율,2017년12월_총인구수,2017년12월_세대수,2017년12월_세대당 인구,2017년12월_남자 인구수,2017년12월_여자 인구수,2017년12월_남여 비율,2018년01월_총인구수,2018년01월_세대수,2018년01월_세대당 인구,2018년01월_남자 인구수,2018년01월_여자 인구수,2018년01월_남여 비율,2018년02월_총인구수,2018년02월_세대수,2018년02월_세대당 인구,2018년02월_남자 인구수,2018년02월_여자 인구수,2018년02월_남여 비율,2018년03월_총인구수,2018년03월_세대수,2018년03월_세대당 인구,2018년03월_남자 인구수,2018년03월_여자 인구수,2018년03월_남여 비율,2018년04월_총인구수,2018년04월_세대수,2018년04월_세대당 인구,2018년04월_남자 인구수,2018년04월_여자 인구수,2018년04월_남여 비율,2018년05월_총인구수,2018년05월_세대수,2018년05월_세대당 인구,2018년05월_남자 인구수,2018년05월_여자 인구수,2018년05월_남여 비율,2018년06월_총인구수,2018년06월_세대수,2018년06월_세대당 인구,2018년06월_남자 인구수,2018년06월_여자 인구수,2018년06월_남여 비율,2018년07월_총인구수,2018년07월_세대수,2018년07월_세대당 인구,2018년07월_남자 인구수,2018년07월_여자 인구수,2018년07월_남여 비율,2018년08월_총인구수,2018년08월_세대수,2018년08월_세대당 인구,2018년08월_남자 인구수,2018년08월_여자 인구수,2018년08월_남여 비율,2018년09월_총인구수,2018년09월_세대수,2018년09월_세대당 인구,2018년09월_남자 인구수,2018년09월_여자 인구수,2018년09월_남여 비율,2018년10월_총인구수,2018년10월_세대수,2018년10월_세대당 인구,2018년10월_남자 인구수,2018년10월_여자 인구수,2018년10월_남여 비율,2018년11월_총인구수,2018년11월_세대수,2018년11월_세대당 인구,2018년11월_남자 인구수,2018년11월_여자 인구수,2018년11월_남여 비율,2018년12월_총인구수,2018년12월_세대수,2018년12월_세대당 인구,2018년12월_남자 인구수,2018년12월_여자 인구수,2018년12월_남여 비율,2019년01월_총인구수,2019년01월_세대수,2019년01월_세대당 인구,2019년01월_남자 인구수,2019년01월_여자 인구수,2019년01월_남여 비율,2019년02월_총인구수,2019년02월_세대수,2019년02월_세대당 인구,2019년02월_남자 인구수,2019년02월_여자 인구수,2019년02월_남여 비율,2019년03월_총인구수,2019년03월_세대수,2019년03월_세대당 인구,2019년03월_남자 인구수,2019년03월_여자 인구수,2019년03월_남여 비율,2019년04월_총인구수,2019년04월_세대수,2019년04월_세대당 인구,2019년04월_남자 인구수,2019년04월_여자 인구수,2019년04월_남여 비율,2019년05월_총인구수,2019년05월_세대수,2019년05월_세대당 인구,2019년05월_남자 인구수,2019년05월_여자 인구수,2019년05월_남여 비율,2019년06월_총인구수,2019년06월_세대수,2019년06월_세대당 인구,2019년06월_남자 인구수,2019년06월_여자 인구수,2019년06월_남여 비율,2019년07월_총인구수,2019년07월_세대수,2019년07월_세대당 인구,2019년07월_남자 인구수,2019년07월_여자 인구수,2019년07월_남여 비율,2019년08월_총인구수,2019년08월_세대수,2019년08월_세대당 인구,2019년08월_남자 인구수,2019년08월_여자 인구수,2019년08월_남여 비율,2019년09월_총인구수,2019년09월_세대수,2019년09월_세대당 인구,2019년09월_남자 인구수,2019년09월_여자 인구수,2019년09월_남여 비율,2019년10월_총인구수,2019년10월_세대수,2019년10월_세대당 인구,2019년10월_남자 인구수,2019년10월_여자 인구수,2019년10월_남여 비율,2019년11월_총인구수,2019년11월_세대수,2019년11월_세대당 인구,2019년11월_남자 인구수,2019년11월_여자 인구수,2019년11월_남여 비율,2019년12월_총인구수,2019년12월_세대수,2019년12월_세대당 인구,2019년12월_남자 인구수,2019년12월_여자 인구수,2019년12월_남여 비율
전국,51704332,21312864,2.43,25830890,25873442,1,51712221,21352287,2.42,25833963,25878258,1,51714935,21381346,2.42,25833566,25881369,1,51722903,21402062,2.42,25836516,25886387,1,51732586,21429935,2.41,25840361,25892225,1,51736224,21455795,2.41,25840911,25895313,1,51744948,21482219,2.41,25844117,25900831,1,51753820,21514559,2.41,25847379,25906441,1,51762492,21544772,2.4,25850675,25911817,1,51769092,21570895,2.4,25852884,25916208,1,51774649,21599577,2.4,25854608,25920041,1,51778544,21632851,2.39,25855919,25922625,1,51779148,21662900,2.39,25855611,25923537,1,51779892,21703524,2.39,25855513,25924379,1,51784669,21745437,2.38,25856654,25928015,1,51790131,21777777,2.38,25857963,25932168,1,51796179,21804246,2.38,25859449,25936730,1,51801449,21825601,2.37,25861116,25940333,1,51806977,21853371,2.37,25862378,25944599,1,51812153,21895153,2.37,25863568,25948585,1,51817851,21930578,2.36,25865557,25952294,1,51821881,21972704,2.36,25866067,25955814,1,51824477,22006919,2.35,25866371,25958106,1,51826059,22042947,2.35,25866129,25959930,1,51826287,22081397,2.35,25865518,25960769,1,51829538,22131431,2.34,25866255,25963283,1,51833175,22175371,2.34,25866984,25966191,1,51836763,22212339,2.33,25867727,25969036,1,51840339,22253218,2.33,25868330,25972009,1,51842636,22281663,2.33,25868406,25974230,1,51845612,22314013,2.32,25868638,25976974,1,51847538,22347155,2.32,25868377,25979161,1,51849253,22380985,2.32,25868023,25981230,1,51850705,22414439,2.31,25867179,25983526,1,51851427,22444006,2.31,25866604,25984823,1,51849861,22481466,2.31,25864816,25985045,1
서울,9930478,4192985,2.37,4875745,5054733,0.96,9931412,4200761,2.36,4874839,5056573,0.96,9926968,4202888,2.36,4871560,5055408,0.96,9922745,4203957,2.36,4868367,5054378,0.96,9919016,4207393,2.36,4865778,5053238,0.96,9914381,4210933,2.35,4862573,5051808,0.96,9908612,4213667,2.35,4859039,5049573,0.96,9902072,4217954,2.35,4855013,5047059,0.96,9891448,4219001,2.34,4849195,5042253,0.96,9882810,4219562,2.34,4844555,5038255,0.96,9870167,4219280,2.34,4837345,5032822,0.96,9857426,4220082,2.34,4830206,5027220,0.96,9851767,4224387,2.33,4826345,5025422,0.96,9845336,4231130,2.33,4822071,5023265,0.96,9838892,4237610,2.32,4817507,5021385,0.96,9830452,4239848,2.32,4812514,5017938,0.96,9820971,4240628,2.32,4806841,5014130,0.96,9814049,4241547,2.31,4802769,5011280,0.96,9806538,4243687,2.31,4798255,5008283,0.96,9799075,4249335,2.31,4793529,5005546,0.96,9793003,4254018,2.3,4789821,5003182,0.96,9784112,4258518,2.3,4784674,4999438,0.96,9774088,4260463,2.29,4778917,4995171,0.96,9765623,4263868,2.29,4773899,4991724,0.96,9766288,4271551,2.29,4772822,4993466,0.96,9770638,4283150,2.28,4773605,4997033,0.96,9770216,4290922,2.28,4772134,4998082,0.95,9766886,4296066,2.27,4769474,4997412,0.95,9762062,4301522,2.27,4766085,4995977,0.95,9757144,4304243,2.27,4762711,4994433,0.95,9751415,4308300,2.26,4759105,4992310,0.95,9744888,4312172,2.26,4754998,4989890,0.95,9740398,4315921,2.26,4751696,4988702,0.95,9736289,4319322,2.25,4749055,4987234,0.95,9732577,4322454,2.25,4746636,4985941,0.95,9729107,4327605,2.25,4744059,4985048,0.95
부산,3496779,1452162,2.41,1724481,1772298,0.97,3495478,1454891,2.4,1723568,1771910,0.97,3493041,1456356,2.4,1721829,1771212,0.97,3491282,1457360,2.4,1720874,1770408,0.97,3489212,1459062,2.39,1719792,1769420,0.97,3486570,1460244,2.39,1718263,1768307,0.97,3484836,1462269,2.38,1717283,1767553,0.97,3484183,1464626,2.38,1716630,1767553,0.97,3482804,1466181,2.38,1715622,1767182,0.97,3478109,1466384,2.37,1713314,1764795,0.97,3474534,1466889,2.37,1711398,1763136,0.97,3470653,1467555,2.36,1709508,1761145,0.97,3467055,1468069,2.36,1707568,1759487,0.97,3465407,1470058,2.36,1706589,1758818,0.97,3463103,1471933,2.35,1705182,1757921,0.97,3460707,1472729,2.35,1703724,1756983,0.97,3458134,1473233,2.35,1702278,1755856,0.97,3455611,1473448,2.35,1700822,1754789,0.97,3453198,1474088,2.34,1699375,1753823,0.97,3451049,1475668,2.34,1698145,1752904,0.97,3449593,1477190,2.34,1697295,1752298,0.97,3446856,1478697,2.33,1695639,1751217,0.97,3444540,1479534,2.33,1694363,1750177,0.97,3441453,1480468,2.32,1692421,1749032,0.97,3438259,1481315,2.32,1690527,1747732,0.97,3436230,1483699,2.32,1689253,1746977,0.97,3434091,1485852,2.31,1687792,1746299,0.97,3431750,1487469,2.31,1686235,1745515,0.97,3429595,1489073,2.3,1684792,1744803,0.97,3427632,1490226,2.3,1683596,1744036,0.97,3425317,1491205,2.3,1682209,1743108,0.97,3423209,1492645,2.29,1681015,1742194,0.96,3421502,1494074,2.29,1679894,1741608,0.96,3418871,1495123,2.29,1678363,1740508,0.96,3416721,1496361,2.28,1677165,1739556,0.96,3413841,1497908,2.28,1675417,1738424,0.96
대구,2484688,995376,2.5,1234155,1250533,0.99,2484578,997275,2.49,1233889,1250689,0.99,2483488,998249,2.49,1232979,1250509,0.99,2483105,998756,2.49,1232641,1250464,0.99,2482476,999571,2.48,1232194,1250282,0.99,2481985,1000396,2.48,1231735,1250250,0.99,2481489,1001312,2.48,1231358,1250131,0.98,2479887,1002305,2.47,1230481,1249406,0.98,2478236,1003058,2.47,1229570,1248666,0.98,2477186,1004083,2.47,1228943,1248243,0.98,2476557,1005244,2.46,1228498,1248059,0.98,2475231,1006753,2.46,1227814,1247417,0.98,2474309,1008158,2.45,1227177,1247132,0.98,2473466,1009865,2.45,1226725,1246741,0.98,2472175,1010995,2.45,1225877,1246298,0.98,2471136,1012012,2.44,1225216,1245920,0.98,2469936,1013144,2.44,1224529,1245407,0.98,2469617,1014303,2.43,1224126,1245491,0.98,2468824,1015395,2.43,1223541,1245283,0.98,2467385,1016552,2.43,1222651,1244734,0.98,2466454,1017785,2.42,1222113,1244341,0.98,2465145,1019055,2.42,1221295,1243850,0.98,2464002,1019972,2.42,1220652,1243350,0.98,2461769,1021266,2.41,1219342,1242427,0.98,2460382,1022727,2.41,1218478,1241904,0.98,2458138,1023970,2.4,1217209,1240929,0.98,2455829,1024813,2.4,1215750,1240079,0.98,2454154,1025515,2.39,1214640,1239514,0.98,2452291,1026813,2.39,1213494,1238797,0.98,2450478,1027230,2.39,1212450,1238028,0.98,2448666,1027763,2.38,1211432,1237234,0.98,2446745,1028022,2.38,1210476,1236269,0.98,2445270,1028806,2.38,1209564,1235706,0.98,2443528,1029583,2.37,1208429,1235099,0.98,2441581,1030190,2.37,1207318,1234263,0.98,2438031,1031251,2.36,1205286,1232745,0.98
인천,2944009,1172392,2.51,1478103,1465906,1.01,2944266,1174178,2.51,1478113,1466153,1.01,2944630,1175439,2.51,1478115,1466515,1.01,2945305,1176610,2.5,1478356,1466949,1.01,2946270,1178143,2.5,1478780,1467490,1.01,2946915,1179716,2.5,1479099,1467816,1.01,2947803,1181162,2.5,1479560,1468243,1.01,2948014,1182564,2.49,1479582,1468432,1.01,2947298,1183886,2.49,1479115,1468183,1.01,2948098,1185385,2.49,1479406,1468692,1.01,2948241,1186930,2.48,1479495,1468746,1.01,2948542,1188917,2.48,1479597,1468945,1.01,2950771,1191418,2.48,1480645,1470126,1.01,2951629,1193780,2.47,1480921,1470708,1.01,2951442,1195636,2.47,1480773,1470669,1.01,2952476,1197713,2.47,1481221,1471255,1.01,2953255,1199382,2.46,1481506,1471749,1.01,2953883,1200814,2.46,1481769,1472114,1.01,2953841,1202183,2.46,1481730,1472111,1.01,2953206,1204048,2.45,1481196,1472010,1.01,2953116,1205783,2.45,1481129,1471987,1.01,2953333,1208430,2.44,1481249,1472084,1.01,2953844,1210643,2.44,1481568,1472276,1.01,2954642,1213201,2.44,1481844,1472798,1.01,2955916,1216126,2.43,1482441,1473475,1.01,2956063,1218462,2.43,1482440,1473623,1.01,2956513,1220608,2.42,1482588,1473925,1.01,2956700,1222515,2.42,1482820,1473880,1.01,2957179,1225024,2.41,1483087,1474092,1.01,2957024,1226531,2.41,1482934,1474090,1.01,2956828,1228176,2.41,1482651,1474177,1.01,2956525,1230253,2.4,1482375,1474150,1.01,2956804,1232450,2.4,1482453,1474351,1.01,2956984,1234799,2.39,1482413,1474571,1.01,2957249,1236770,2.39,1482519,1474730,1.01,2957026,1238641,2.39,1482249,1474777,1.01
광주,1469583,586957,2.5,728408,741175,0.98,1468527,587518,2.5,727870,740657,0.98,1467766,588121,2.5,727352,740414,0.98,1467002,588354,2.49,726707,740295,0.98,1466741,588810,2.49,726559,740182,0.98,1466451,589232,2.49,726451,740000,0.98,1466415,589706,2.49,726563,739852,0.98,1466642,590485,2.48,726678,739964,0.98,1466639,591238,2.48,726714,739925,0.98,1466716,591805,2.48,726768,739948,0.98,1466328,592495,2.47,726603,739725,0.98,1463770,592818,2.47,725295,738475,0.98,1464037,593739,2.47,725343,738694,0.98,1463100,594453,2.46,724918,738182,0.98,1462033,595079,2.46,724187,737846,0.98,1460972,595477,2.45,723604,737368,0.98,1460564,595819,2.45,723405,737159,0.98,1460745,596150,2.45,723562,737183,0.98,1461203,597143,2.45,723738,737465,0.98,1461463,598494,2.44,723692,737771,0.98,1461790,599749,2.44,723732,738058,0.98,1461904,601251,2.43,723732,738172,0.98,1461009,602298,2.43,723379,737630,0.98,1459336,603107,2.42,722581,736755,0.98,1459832,604691,2.41,722902,736930,0.98,1459208,605981,2.41,722689,736519,0.98,1458930,607007,2.4,722511,736419,0.98,1458940,608121,2.4,722495,736445,0.98,1459003,609584,2.39,722531,736472,0.98,1459024,610567,2.39,722559,736465,0.98,1459486,611937,2.39,722801,736685,0.98,1459438,613002,2.38,722608,736830,0.98,1459632,613991,2.38,722595,737037,0.98,1459360,614917,2.37,722448,736912,0.98,1458915,615885,2.37,722168,736747,0.98,1456468,616485,2.36,720740,735728,0.98
대전,1514354,607090,2.49,757142,757212,1,1513877,608763,2.49,756811,757066,1,1512189,609447,2.48,755931,756258,1,1511396,609963,2.48,755507,755889,1,1509587,610436,2.47,754432,755155,1,1508137,610915,2.47,753814,754323,1,1507597,611746,2.46,753555,754042,1,1507116,612740,2.46,753326,753790,1,1506741,613372,2.46,753133,753608,1,1505829,613864,2.45,752671,753158,1,1504307,614201,2.45,752025,752282,1,1502227,614639,2.44,750969,751258,1,1501378,615642,2.44,750415,750963,1,1499187,616462,2.43,749331,749856,1,1497572,617219,2.43,748488,749084,1,1496123,617757,2.42,747775,748348,1,1495234,618339,2.42,747264,747970,1,1494878,619181,2.41,747071,747807,1,1495029,620418,2.41,747070,747959,1,1494286,621746,2.4,746684,747602,1,1493654,622579,2.4,746335,747319,1,1492589,623363,2.39,745709,746880,1,1491716,624296,2.39,745257,746459,1,1489936,624965,2.38,744338,745598,1,1488725,626103,2.38,743851,744874,1,1487605,627893,2.37,743135,744470,1,1486647,629084,2.36,742647,744000,1,1485509,629623,2.36,742095,743414,1,1484398,630429,2.35,741504,742894,1,1482938,630835,2.35,740834,742104,1,1481701,631528,2.35,740227,741474,1,1480520,632274,2.34,739595,740925,1,1479641,633284,2.34,739110,740531,1,1478436,634132,2.33,738400,740036,1,1476955,634605,2.33,737607,739348,1,1474870,635343,2.32,736607,738263,1
울산,1171656,455430,2.57,603471,568185,1.06,1169957,455624,2.57,602577,567380,1.06,1168843,455783,2.56,601926,566917,1.06,1168501,455975,2.56,601623,566878,1.06,1167960,456174,2.56,601244,566716,1.06,1167525,456402,2.56,600925,566600,1.06,1166942,456655,2.56,600568,566374,1.06,1165909,456770,2.55,600002,565907,1.06,1165385,457001,2.55,599679,565706,1.06,1165528,457607,2.55,599733,565795,1.06,1165317,457950,2.54,599543,565774,1.06,1165132,458547,2.54,599480,565652,1.06,1164489,458894,2.54,599243,565246,1.06,1163151,459342,2.53,598625,564526,1.06,1162074,459655,2.53,598049,564025,1.06,1161303,459902,2.53,597654,563649,1.06,1160657,460046,2.52,597181,563476,1.06,1159594,460076,2.52,596415,563179,1.06,1158847,460206,2.52,595843,563004,1.06,1157964,460572,2.51,595230,562734,1.06,1157420,460772,2.51,594875,562545,1.06,1156917,461024,2.51,594552,562365,1.06,1156260,461311,2.51,594214,562046,1.06,1155623,461756,2.5,593819,561804,1.06,1154786,462218,2.5,593436,561350,1.06,1153735,462929,2.49,592853,560882,1.06,1152800,463628,2.49,592362,560438,1.06,1152293,464318,2.48,592037,560256,1.06,1151685,465046,2.48,591690,559995,1.06,1151301,465588,2.47,591449,559852,1.06,1150891,466091,2.47,591161,559730,1.06,1150294,466584,2.47,590889,559405,1.06,1149873,467135,2.46,590619,559254,1.06,1149409,467642,2.46,590332,559077,1.06,1148922,468072,2.45,590098,558824,1.06,1148019,468659,2.45,589712,558307,1.06
세종,244939,95032,2.58,122451,122488,1,247600,95975,2.58,123761,123839,1,251178,97360,2.58,125524,125654,1,254112,98597,2.58,126951,127161,1,259157,100596,2.58,129481,129676,1,263056,102259,2.57,131391,131665,1,266075,103442,2.57,132913,133162,1,269102,104742,2.57,134395,134707,1,271410,105677,2.57,135548,135862,1,274092,106858,2.57,136880,137212,1,276879,108102,2.56,138275,138604,1,280100,109490,2.56,139734,140366,1,283198,110573,2.56,141253,141945,1,288079,112343,2.56,143601,144478,0.99,291182,113853,2.56,145235,145947,1,295041,115640,2.55,147180,147861,1,297604,116639,2.55,148481,149123,1,300332,117734,2.55,149839,150493,1,302703,118722,2.55,151019,151684,1,305648,120102,2.54,152530,153118,1,308068,121310,2.54,153838,154230,1,310403,122394,2.54,155050,155353,1,312103,123046,2.54,155835,156268,1,314126,123762,2.54,156831,157295,1,316814,124840,2.54,158090,158724,1,320326,126337,2.54,159860,160466,1,322693,127487,2.53,161056,161637,1,324417,128330,2.53,161944,162473,1,325777,129052,2.52,162578,163199,1,327643,129937,2.52,163528,164115,1,330298,131110,2.52,164832,165466,1,332098,131826,2.52,165740,166358,1,333757,132657,2.52,166548,167209,1,336356,133728,2.52,167810,168546,1,338647,134616,2.52,168916,169731,1,340575,135408,2.52,169845,170730,0.99
경기,12728620,5010895,2.54,6401310,6327310,1.01,12741266,5022352,2.54,6408014,6333252,1.01,12753983,5032867,2.53,6414903,6339080,1.01,12763961,5040279,2.53,6419893,6344068,1.01,12775175,5049758,2.53,6425769,6349406,1.01,12783741,5058506,2.53,6430216,6353525,1.01,12795378,5067741,2.52,6436130,6359248,1.01,12810014,5079932,2.52,6443859,6366155,1.01,12827633,5093580,2.52,6452524,6375109,1.01,12841321,5105103,2.52,6459082,6382239,1.01,12858161,5117958,2.51,6467553,6390608,1.01,12873895,5131379,2.51,6475323,6398572,1.01,12890445,5145099,2.51,6483951,6406494,1.01,12908010,5160661,2.5,6492392,6415618,1.01,12925761,5176163,2.5,6501263,6424498,1.01,12941604,5189382,2.49,6509171,6432433,1.01,12958648,5202326,2.49,6517899,6440749,1.01,12975176,5212883,2.49,6526428,6448748,1.01,12993165,5225673,2.49,6535785,6457380,1.01,13012486,5242680,2.48,6545752,6466734,1.01,13027338,5257306,2.48,6553196,6474142,1.01,13045223,5275515,2.47,6561990,6483233,1.01,13061074,5291257,2.47,6569721,6491353,1.01,13077153,5306214,2.46,6577501,6499652,1.01,13090648,5320873,2.46,6584729,6505919,1.01,13104696,5336962,2.46,6592095,6512601,1.01,13116579,5350353,2.45,6598392,6518187,1.01,13129508,5363723,2.45,6605143,6524365,1.01,13145482,5378654,2.44,6613473,6532009,1.01,13159178,5390454,2.44,6620514,6538664,1.01,13176011,5404604,2.44,6629105,6546906,1.01,13193943,5419790,2.43,6638077,6555866,1.01,13207219,5433375,2.43,6644899,6562320,1.01,13218912,5446200,2.43,6650459,6568453,1.01,13228177,5456597,2.42,6654571,6573606,1.01,13239666,5468920,2.42,6659995,6579671,1.01
