행정구역,2020년01월_총인구수,2020년01월_세대수,2020년01월_세대당 인구,2020년01월_남자 인구수,2020년01월_여자 인구수,2020년01월_남여 비율,2020년02월_총인구수,2020년02월_세대수,2020년02월_세대당 인구,2020년02월_남자 인구수,2020년02월_여자 인구수,2020년02월_남여 비율,2020년03월_총인구수,2020년03월_세대수,2020년03월_세대당 인구,2020년03월_남자 인구수,2020년03월_여자 인구수,2020년03월_남여 비율,2020년04월_총인구수,2020년04월_세대수,2020년04월_세대당 인구,2020년04월_남자 인구수,2020년04월_여자 인구수,2020년04월_남여 비율,2020년05월_총인구수,2020년05월_세대수,2020년05월_세대당 인구,2020년05월_남자 인구수,2020년05월_여자 인구수,2020년05월_남여 비율,2020년06월_총인구수,2020년06월_세대수,2020년06월_세대당 인구,2020년06월_남자 인구수,2020년06월_여자 인구수,2020년06월_남여 비율,2020년07월_총인구수,2020년07월_세대수,2020년07월_세대당 인구,2020년07월_남자 인구수,2020년07월_여자 인구수,2020년07월_남여 비율,2020년08월_총인구수,2020년08월_세대수,2020년08월_세대당 인구,2020년08월_남자 인구수,2020년08월_여자 인구수,2020년08월_남여 비율,2020년09월_총인구수,2020년09월_세대수,2020년09월_세대당 인구,2020년09월_남자 인구수,2020년09월_여자 인구수,2020년09월_남여 비율,2020년10월_총인구수,2020년10월_세대수,2020년10월_세대당 인구,2020년10월_남자 인구수,2020년10월_여자 인구수,2020년10월_남여 비율,2020년11월_총인구수,2020년11월_세대수,2020년11월_세대당 인구,2020년11월_남자 인구수,2020년11월_여자 인구수,2020년11월_남여 비율,2020년12월_총인구수,2020년12월_세대수,2020년12월_세대당 인구,2020년12월_남자 인구수,2020년12월_여자 인구수,2020년12월_남여 비율,2021년01월_총인구수,2021년01월_세대수,2021년01월_세대당 인구,2021년01월_남자 인구수,2021년01월_여자 인구수,2021년01월_남여 비율,2021년02월_총인구수,2021년02월_세대수,2021년02월_세대당 인구,2021년02월_남자 인구수,2021년02월_여자 인구수,2021년02월_남여 비율,2021년03월_총인구수,2021년03월_세대수,2021년03월_세대당 인구,2021년03월_남자 인구수,2021년03월_여자 인구수,2021년03월_남여 비율,2021년04월_총인구수,2021년04월_세대수,2021년04월_세대당 인구,2021년04월_남자 인구수,2021년04월_여자 인구수,2021년04월_남여 비율,2021년05월_총인구수,2021년05월_세대수,2021년05월_세대당 인구,2021년05월_남자 인구수,2021년05월_여자 인구수,2021년05월_남여 비율,2021년06월_총인구수,2021년06월_세대수,2021년06월_세대당 인구,2021년06월_남자 인구수,2021년06월_여자 인구수,2021년06월_남여 비율,2021년07월_총인구수,2021년07월_세대수,2021년07월_세대당 인구,2021년07월_남자 인구수,2021년07월_여자 인구수,2021년07월_남여 비율,2021년08월_총인구수,2021년08월_세대수,2021년08월_세대당 인구,2021년08월_남자 인구수,2021년08월_여자 인구수,2021년08월_남여 비율,2021년09월_총인구수,2021년09월_세대수,2021년09월_세대당 인구,2021년09월_남자 인구수,2021년09월_여자 인구수,2021년09월_남여 비율,2021년10월_총인구수,2021년10월_세대수,2021년10월_세대당 인구,2021년10월_남자 인구수,2021년10월_여자 인구수,2021년10월_남여 비율,2021년11월_총인구수,2021년11월_세대수,2021년11월_세대당 인구,2021년11월_남자 인구수,2021년11월_여자 인구수,2021년11월_남여 비율,2021년12월_총인구수,2021년12월_세대수,2021년12월_세대당 인구,2021년12월_남자 인구수,2021년12월_여자 인구수,2021년12월_남여 비율
전국,51847509,22513039,2.3,25862863,25984646,1,51844627,22561161,2.3,25860491,25984136,1,51843195,22613882,2.29,25858743,25984452,1,51842524,22663240,2.29,25857509,25985015,1,51841371,22732288,2.28,25856030,25985341,1,51839408,22791531,2.27,25853937,25985471,0.99,51839852,22842044,2.27,25852796,25987056,0.99,51839953,22898959,2.26,25851388,25988565,0.99,51841786,22952513,2.26,25851003,25990783,0.99,51838016,22991110,2.25,25847719,25990297,0.99,51834302,23037033,2.25,25844667,25989635,0.99,51829023,23093108,2.24,25841029,25987994,0.99,51825932,23137172,2.24,25838512,25987420,0.99,51824142,23194982,2.23,25836561,25987581,0.99,51705905,23157385,2.23,25787390,25918515,0.99,51702100,23198657,2.23,25784538,25917562,0.99,51683025,23225281,2.23,25775853,25907172,0.99,51672400,23256332,2.22,25770033,25902367,0.99,51671569,23294707,2.22,25768310,25903259,0.99,51669716,23336989,2.21,25766031,25903685,0.99,51667688,23383689,2.21,25763891,25903797,0.99,51662290,23415533,2.21,25760238,25902052,0.99,51652704,23444608,2.2,25754446,25898258,0.99,51638809,23472895,2.2,25746684,25892125,0.99
서울,9733509,4334918,2.25,4745088,4988421,0.95,9736962,4345877,2.24,4745133,4991829,0.95,9733655,4354006,2.24,4742217,4991438,0.95,9726787,4361645,2.23,4737843,4988944,0.95,9724496,4373610,2.22,4735431,4989065,0.95,9720846,4384076,2.22,4732275,4988571,0.95,9715429,4391545,2.21,4728872,4986557,0.95,9708247,4400154,2.21,4724585,4983662,0.95,9699232,4405833,2.2,4719170,4980062,0.95,9689159,4408498,2.2,4713716,4975443,0.95,9679771,4412343,2.19,4708321,4971450,0.95,9668465,4417954,2.19,4701723,4966742,0.95,9657969,4421022,2.18,4695999,4961970,0.95,9648606,4427814,2.18,4690282,4958324,0.95,9598484,4400403,2.18,4667524,4930960,0.95,9588711,4403263,2.18,4661711,4927000,0.95,9575355,4403381,2.17,4654720,4920635,0.95,9565990,4405638,2.17,4649442,4916548,0.95,9558153,4409964,2.17,4645177,4912976,0.95,9550227,4416816,2.16,4640740,4909487,0.95,9542256,4421143,2.16,4636069,4906187,0.94,9532428,4422587,2.16,4630630,4901798,0.94,9520880,4424222,2.15,4624290,4896590,0.94,9509458,4426007,2.15,4618040,4891418,0.94
부산,3411819,1499152,2.28,1674202,1737617,0.96,3410925,1502333,2.27,1673266,1737659,0.96,3409932,1505897,2.26,1672252,1737680,0.96,3408347,1507504,2.26,1671199,1737148,0.96,3406942,1511199,2.25,1670175,1736767,0.96,3404423,1513956,2.25,1668618,1735805,0.96,3402776,1517200,2.24,1667613,1735163,0.96,3401072,1520321,2.24,1666462,1734610,0.96,3399749,1523122,2.23,1665554,1734195,0.96,3397598,1524888,2.23,1664277,1733321,0.96,3395514,1527721,2.22,1663055,1732459,0.96,3391946,1530431,2.22,1661000,1730946,0.96,3389388,1532700,2.21,1659527,1729861,0.96,3387761,1536242,2.21,1658540,1729221,0.96,3372399,1527830,2.21,1651804,1720595,0.96,3369704,1529794,2.2,1650252,1719452,0.96,3367334,1532053,2.2,1648965,1718369,0.96,3364358,1533514,2.19,1647291,1717067,0.96,3361781,1535294,2.19,1645794,1715987,0.96,3359527,1537395,2.19,1644378,1715149,0.96,3358763,1540342,2.18,1643690,1715073,0.96,3356311,1541975,2.18,1642368,1713943,0.96,3353627,1543438,2.17,1640867,1712760,0.96,3350380,1544663,2.17,1639044,1711336,0.96
대구,2436488,1032478,2.36,1204387,1232101,0.98,2432883,1033349,2.35,1202364,1230519,0.98,2433568,1037956,2.34,1202273,1231295,0.98,2431523,1041932,2.33,1200899,1230624,0.98,2429059,1044412,2.33,1199504,1229555,0.98,2427954,1046585,2.32,1198815,1229139,0.98,2428022,1048735,2.32,1198621,1229401,0.97,2428228,1050852,2.31,1198662,1229566,0.97,2426849,1052646,2.31,1197914,1228935,0.97,2424171,1053168,2.3,1196446,1227725,0.97,2421859,1054637,2.3,1195081,1226778,0.97,2418346,1056627,2.29,1193109,1225237,0.97,2415813,1058117,2.28,1191656,1224157,0.97,2413191,1059963,2.28,1190244,1222947,0.97,2408875,1060866,2.27,1188070,1220805,0.97,2406296,1061829,2.27,1186663,1219633,0.97,2402940,1061872,2.26,1184977,1217963,0.97,2397646,1059826,2.26,1182380,1215266,0.97,2395749,1060394,2.26,1181351,1214398,0.97,2393626,1061159,2.26,1180223,1213403,0.97,2392787,1062536,2.25,1179640,1213147,0.97,2390721,1062993,2.25,1178486,1212235,0.97,2388230,1063241,2.25,1177136,1211094,0.97,2385412,1063893,2.24,1175632,1209780,0.97
인천,2956119,1239915,2.38,1481749,1474370,1.01,2954955,1242107,2.38,1481133,1473822,1,2952689,1243983,2.37,1479839,1472850,1,2950972,1246255,2.37,1478916,1472056,1,2950063,1249739,2.36,1478307,1471756,1,2947217,1251818,2.35,1476813,1470404,1,2945565,1253957,2.35,1475837,1469728,1,2943491,1256383,2.34,1474620,1468871,1,2942553,1259167,2.34,1474105,1468448,1,2942233,1261590,2.33,1473834,1468399,1,2942307,1264300,2.33,1473795,1468512,1,2942828,1267956,2.32,1473943,1468885,1,2942452,1270669,2.32,1473639,1468813,1,2941705,1273377,2.31,1473245,1468460,1,2936461,1272361,2.31,1470750,1465711,1,2936214,1275194,2.3,1470490,1465724,1,2936382,1277842,2.3,1470528,1465854,1,2936367,1280291,2.29,1470544,1465823,1,2937440,1283524,2.29,1470985,1466455,1,2938429,1286458,2.28,1471347,1467082,1,2941795,1290829,2.28,1472963,1468832,1,2945009,1294158,2.28,1474536,1470473,1,2946319,1296517,2.27,1475245,1471074,1,2948375,1298647,2.27,1476373,1472002,1
광주,1456688,617379,2.36,720931,735757,0.98,1456121,618503,2.35,720686,735435,0.98,1455705,620050,2.35,720460,735245,0.98,1456096,622374,2.34,720536,735560,0.98,1455533,624687,2.33,720300,735233,0.98,1455048,626386,2.32,720060,734988,0.98,1454709,627676,2.32,719860,734849,0.98,1454154,629054,2.31,719601,734553,0.98,1453952,630695,2.31,719445,734507,0.98,1452994,631269,2.3,718912,734082,0.98,1451993,632264,2.3,718370,733623,0.98,1450062,633582,2.29,717348,732714,0.98,1449115,634859,2.28,716929,732186,0.98,1447953,635999,2.28,716331,731622,0.98,1445473,636160,2.27,715226,730247,0.98,1444787,637169,2.27,714834,729953,0.98,1443154,637364,2.26,714101,729053,0.98,1442647,638270,2.26,713793,728854,0.98,1442482,639333,2.26,713626,728856,0.98,1441970,640836,2.25,713286,728684,0.98,1442827,642726,2.24,713666,729161,0.98,1442454,643841,2.24,713483,728971,0.98,1442138,644972,2.24,713292,728846,0.98,1441611,645712,2.23,713015,728596,0.98
대전,1474152,636203,2.32,736259,737893,1,1473125,637726,2.31,735791,737334,1,1471858,638921,2.3,735179,736679,1,1471650,640500,2.3,734902,736748,1,1471915,643220,2.29,734940,736975,1,1471040,644764,2.28,734441,736599,1,1470225,646211,2.28,734008,736217,1,1469431,647818,2.27,733547,735884,1,1469099,649552,2.26,733356,735743,1,1467556,650636,2.26,732552,735004,1,1465893,651488,2.25,731701,734192,1,1463882,652783,2.24,730699,733183,1,1463291,654078,2.24,730396,732895,1,1462064,655842,2.23,729663,732401,1,1458463,655196,2.23,728075,730388,1,1457619,656007,2.22,727522,730097,1,1457161,657087,2.22,727279,729882,1,1456107,657781,2.21,726666,729441,1,1455300,658831,2.21,726281,729019,1,1454679,659978,2.2,725956,728723,1,1455058,661948,2.2,726142,728916,1,1454228,662615,2.19,725742,728486,1,1453675,663621,2.19,725406,728269,1,1452251,664417,2.19,724626,727625,1
울산,1147037,469007,2.45,589233,557804,1.06,1145710,469551,2.44,588626,557084,1.06,1144563,470294,2.43,588127,556436,1.06,1144098,471153,2.43,587902,556196,1.06,1143148,472255,2.42,587434,555714,1.06,1142190,472983,2.41,586939,555251,1.06,1141362,473640,2.41,586533,554829,1.06,1140310,474328,2.4,585922,554388,1.06,1139368,474970,2.4,585387,553981,1.06,1138581,475424,2.39,584963,553618,1.06,1137345,476112,2.39,584305,553040,1.06,1136017,476893,2.38,583708,552309,1.06,1135370,478531,2.37,583402,551968,1.06,1132953,479441,2.36,582190,550763,1.06,1129254,478528,2.36,580424,548830,1.06,1128163,478865,2.36,579853,548310,1.06,1127175,479362,2.35,579316,547859,1.06,1126369,479971,2.35,578924,547445,1.06,1125727,480623,2.34,578511,547216,1.06,1124459,480951,2.34,577806,546653,1.06,1123236,481483,2.33,577093,546143,1.06,1122566,481811,2.33,576723,545843,1.06,1122495,482287,2.33,576636,545859,1.06,1121592,482650,2.32,576217,545375,1.06
세종,342328,136056,2.52,170729,171599,0.99,343788,136629,2.52,171403,172385,0.99,344792,137208,2.51,171951,172841,0.99,345216,137500,2.51,172176,173040,1,345373,137893,2.5,172269,173104,1,345341,138167,2.5,172234,173107,0.99,346217,138720,2.5,172660,173557,0.99,347232,139552,2.49,173183,174049,1,348014,140222,2.48,173613,174401,1,351007,141687,2.48,175135,175872,1,353430,142912,2.47,176336,177094,1,355831,144275,2.47,177568,178263,1,357871,145403,2.46,178656,179215,1,359569,146323,2.46,179528,180041,1,360462,146763,2.46,180030,180432,1,361396,147292,2.45,180462,180934,1,362036,147848,2.45,180778,181258,1,362995,148604,2.44,181328,181667,1,364364,149580,2.44,181996,182368,1,365309,150077,2.43,182430,182879,1,366560,150841,2.43,183044,183516,1,368276,151639,2.43,183879,184397,1,369465,152301,2.43,184441,185024,1,371895,153649,2.42,185678,186217,1
경기,13250368,5480444,2.42,6665310,6585058,1.01,13265377,5497087,2.41,6672706,6592671,1.01,13288975,5514938,2.41,6684759,6604216,1.01,13311254,5529263,2.41,6696531,6614723,1.01,13324041,5547190,2.4,6703603,6620438,1.01,13338020,5566078,2.4,6711047,6626973,1.01,13351891,5584110,2.39,6717812,6634079,1.01,13370714,5605611,2.39,6727226,6643488,1.01,13388485,5626369,2.38,6736077,6652408,1.01,13400615,5641978,2.38,6741849,6658766,1.01,13413459,5658580,2.37,6748061,6665398,1.01,13427014,5676401,2.37,6754469,6672545,1.01,13449499,5694934,2.36,6765862,6683637,1.01,13471758,5717252,2.36,6777066,6694692,1.01,13465837,5719333,2.35,6776866,6688971,1.01,13479798,5735887,2.35,6784466,6695332,1.01,13488910,5749175,2.35,6789327,6699583,1.01,13500688,5763227,2.34,6795088,6705600,1.01,13512867,5776653,2.34,6801008,6711859,1.01,13530519,5793437,2.34,6810105,6720414,1.01,13542284,5809524,2.33,6816449,6725835,1.01,13549577,5820524,2.33,6820025,6729552,1.01,13557973,5831464,2.32,6823931,6734042,1.01,13565450,5841995,2.32,6827298,6738152,1.01
