,서울 인구,부산 인구,대구 인구,인천 인구,광주 인구,대전 인구,울산 인구,세종 인구,경기 인구,강원 인구,충북 인구,충남 인구,전북 인구,전남 인구,경북 인구,경남 인구,제주 인구,gdp,consumer_price_index
'17.01,9930478,3496779,2484688,2944009,1469583,1514354,1171656,244939,12728620,1549212,1591674,2097406,1863298,1902380,2698803,3374065,642388,1835698.2,97.6
'17.02,9931412,3495478,2484578,2944266,1468527,1513877,1169957,247600,12741266,1548252,1592001,2099924,1861955,1900797,2696329,3372266,643736,1835698.2,97.6
'17.03,9926968,3493041,2483488,2944630,1467766,1512189,1168843,251178,12753983,1547735,1591697,2102327,1860485,1899441,2694544,3371696,644924,1835698.2,97.6
'17.04,9922745,3491282,2483105,2945305,1467002,1511396,1168501,254112,12763961,1547579,1592492,2104463,1859703,1899604,2693810,3371703,646140,1835698.2,97.6
'17.05,9919016,3489212,2482476,2946270,1466741,1509587,1167960,259157,12775175,1547453,1592573,2105959,1858927,1899088,2692859,3372586,647547,1835698.2,97.6
'17.06,9914381,3486570,2481985,2946915,1466451,1508137,1167525,263056,12783741,1547829,1592634,2107562,1857815,1898065,2691727,3373334,648497,1835698.2,97.6
'17.07,9908612,3484836,2481489,2947803,1466415,1507597,1166942,266075,12795378,1547387,1592817,2109230,1856921,1897681,2690974,3374601,650190,1835698.2,97.6
'17.08,9902072,3484183,2479887,2948014,1466642,1507116,1165909,269102,12810014,1547455,1593022,2111419,1855985,1895974,2690671,3374467,651888,1835698.2,97.6
'17.09,9891448,3482804,2478236,2947298,1466639,1506741,1165385,271410,12827633,1547768,1593313,2113033,1855450,1895233,2691502,3375329,653270,1835698.2,97.6
'17.10,9882810,3478109,2477186,2948098,1466716,1505829,1165528,274092,12841321,1547999,1593577,2114284,1854688,1894676,2691794,3377635,654750,1835698.2,97.6
'17.11,9870167,3474534,2476557,2948241,1466328,1504307,1165317,276879,12858161,1549344,1594005,2115586,1853886,1894426,2691878,3379020,656013,1835698.2,97.6
'17.12,9857426,3470653,2475231,2948542,1463770,1502227,1165132,280100,12873895,1550142,1594432,2116770,1854607,1896424,2691706,3380404,657083,1835698.2,97.6
'18.01,9851767,3467055,2474309,2950771,1464037,1501378,1164489,283198,12890445,1548078,1593903,2117685,1851694,1893444,2688747,3379981,658167,1898192.6,99.1
'18.02,9845336,3465407,2473466,2951629,1463100,1499187,1163151,288079,12908010,1546259,1594066,2118099,1849543,1891308,2685633,3378430,659189,1898192.6,99.1
'18.03,9838892,3463103,2472175,2951442,1462033,1497572,1162074,291182,12925761,1546152,1594708,2119468,1848066,1890423,2683661,3377516,660441,1898192.6,99.1
'18.04,9830452,3460707,2471136,2952476,1460972,1496123,1161303,295041,12941604,1545452,1595164,2120666,1847089,1890412,2682897,3377126,661511,1898192.6,99.1
'18.05,9820971,3458134,2469936,2953255,1460564,1495234,1160657,297604,12958648,1545291,1595822,2121618,1846144,1889726,2682316,3377626,662633,1898192.6,99.1
'18.06,9814049,3455611,2469617,2953883,1460745,1494878,1159594,300332,12975176,1544843,1595772,2122220,1844639,1887991,2681090,3377483,663526,1898192.6,99.1
'18.07,9806538,3453198,2468824,2953841,1461203,1495029,1158847,302703,12993165,1544258,1596161,2122531,1843009,1886297,2679546,3377248,664579,1898192.6,99.1
'18.08,9799075,3451049,2467385,2953206,1461463,1494286,1157964,305648,13012486,1543668,1596324,2123368,1841427,1884285,2678272,3376730,665517,1898192.6,99.1
'18.09,9793003,3449593,2466454,2953116,1461790,1493654,1157420,308068,13027338,1543780,1596734,2123776,1840544,1882637,2677762,3376031,666151,1898192.6,99.1
'18.10,9784112,3446856,2465145,2953333,1461904,1492589,1156917,310403,13045223,1543441,1597709,2124524,1839358,1881420,2676904,3375357,666686,1898192.6,99.1
'18.11,9774088,3444540,2464002,2953844,1461009,1491716,1156260,312103,13061074,1543556,1598184,2125409,1838049,1881518,2677014,3375047,667064,1898192.6,99.1
'18.12,9765623,3441453,2461769,2954642,1459336,1489936,1155623,314126,13077153,1543052,1599252,2126282,1836832,1882970,2676831,3373988,667191,1898192.6,99.1
'19.01,9766288,3438259,2460382,2955916,1459832,1488725,1154786,316814,13090648,1541693,1599155,2125797,1834532,1878904,2674005,3373214,667337,1924498.1,99.5
'19.02,9770638,3436230,2458138,2956063,1459208,1487605,1153735,320326,13104696,1540445,1598868,2125372,1832227,1875862,2671587,3371016,667522,1924498.1,99.5
'19.03,9770216,3434091,2455829,2956513,1458930,1486647,1152800,322693,13116579,1540488,1598775,2125778,1830499,1874232,2671036,3369949,668120,1924498.1,99.5
'19.04,9766886,3431750,2454154,2956700,1458940,1485509,1152293,324417,13129508,1540794,1599488,2125912,1829273,1873183,2670375,3368933,668648,1924498.1,99.5
